:Data_list: power_2013.txt
:Created: Tue Jan 27 20:00:00 UTC 2014


# Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
# Please send comments and suggestions to sec@sec.noaa.gov
#
# Source: NOAA POES (Whatever is aloft)
# Units: gigawatts

# Format:

# Each line is formatted as in this example:

# 2006-09-05 00:54:25 NOAA-16 (S)  7  29.67   0.82

# A19   Date and UT at the center of the polar pass as YYYY-MM-DD hh:mm:ss
# 1X    (Space)
# A7    NOAA POES Satellite number
# 1X    (Space)
# A3    (S) or (N) - hemisphere
# I3    Hemispheric Power Index (activity level)
# F7.2  Estimated Hemispheric Power in gigawatts
# F7.2  Normalizing factor

2017-09-07 00:00:30 NOAA-00 (N)  0  13.50   1.00
2017-09-07 00:01:30 NOAA-00 (N)  0  19.88   1.00
2017-09-07 00:02:30 NOAA-00 (N)  0  15.26   1.00
2017-09-07 00:03:30 NOAA-00 (N)  0  21.92   1.00
2017-09-07 00:04:30 NOAA-00 (N)  0  16.09   1.00
2017-09-07 00:05:30 NOAA-00 (N)  0  17.68   1.00
2017-09-07 00:06:30 NOAA-00 (N)  0  19.16   1.00
2017-09-07 00:07:30 NOAA-00 (N)  0  19.52   1.00
2017-09-07 00:08:30 NOAA-00 (N)  0  20.23   1.00
2017-09-07 00:09:30 NOAA-00 (N)  0  21.25   1.00
2017-09-07 00:10:30 NOAA-00 (N)  0  20.92   1.00
2017-09-07 00:11:30 NOAA-00 (N)  0  22.56   1.00
2017-09-07 00:12:30 NOAA-00 (N)  0  23.51   1.00
2017-09-07 00:13:30 NOAA-00 (N)  0  27.05   1.00
2017-09-07 00:14:30 NOAA-00 (N)  0  28.15   1.00
2017-09-07 00:15:30 NOAA-00 (N)  0  24.73   1.00
2017-09-07 00:16:30 NOAA-00 (N)  0  25.91   1.00
2017-09-07 00:17:30 NOAA-00 (N)  0  27.05   1.00
2017-09-07 00:18:30 NOAA-00 (N)  0  32.24   1.00
2017-09-07 00:19:30 NOAA-00 (N)  0  32.24   1.00
2017-09-07 00:20:30 NOAA-00 (N)  0  27.87   1.00
2017-09-07 00:21:30 NOAA-00 (N)  0  23.82   1.00
2017-09-07 00:22:30 NOAA-00 (N)  0  16.09   1.00
2017-09-07 00:23:30 NOAA-00 (N)  0  20.57   1.00
2017-09-07 00:24:30 NOAA-00 (N)  0  23.20   1.00
2017-09-07 00:25:30 NOAA-00 (N)  0  31.26   1.00
2017-09-07 00:26:30 NOAA-00 (N)  0  32.73   1.00
2017-09-07 00:27:30 NOAA-00 (N)  0  27.32   1.00
2017-09-07 00:28:30 NOAA-00 (N)  0  17.29   1.00
2017-09-07 00:29:30 NOAA-00 (N)  0  16.90   1.00
2017-09-07 00:30:30 NOAA-00 (N)  0  11.07   1.00
2017-09-07 00:31:30 NOAA-00 (N)  0  21.92   1.00
2017-09-07 00:32:30 NOAA-00 (N)  0  29.99   1.00
2017-09-07 00:33:30 NOAA-00 (N)  0  25.62   1.00
2017-09-07 00:34:30 NOAA-00 (N)  0  22.88   1.00
2017-09-07 00:35:30 NOAA-00 (N)  0  24.73   1.00
2017-09-07 00:36:30 NOAA-00 (N)  0  20.57   1.00
